id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj	proximal_genes	left	right
W_125215	1112.82790573737	1836.58184052072	27.1970035623404	0.0148084898599614	-6.07743166478802	0.00476415698247964	0.0514709860177338	CCNA_02975,	3130350	3130375
W_120006	967.222891092989	1581.83039101979	45.3116412027906	0.028645069319713	-5.12556936074662	0.00716311957100831	0.0622208967465935	CCNA_02846,	3000125	3000150
W_147700	707.829120743543	1166.22853929705	20.229992913286	0.0173465081942513	-5.84921090840244	0.00731620619170147	0.0628134807905948		3692475	3692500
W_46364	765.645844974329	1257.70423933335	27.558253435792	0.0219115532681986	-5.51216443192312	0.00954832766737827	0.0712948565398921	CCNA_01058,CCNA_01057,	1159075	1159100
W_147699	1118.49089945147	1830.1594760877	50.9880344971161	0.0278598860718478	-5.16566683147362	0.0112041035390079	0.0766017880347244		3692450	3692475
W_58345	3175.63335840612	5186.30793348107	159.621495793689	0.0307774813684367	-5.02198101418197	0.0123467840052468	0.0803411240471582	CCNA_01344,CCNA_01345,	1458600	1458625
W_17188	2084.4990216146	3469.17626595586	7.48315510271889	0.00215704090223189	-8.85673075123853	0.0142631041919048	0.0860529836284009	CCNA_00415,CCNA_00416,	429675	429700
W_125710	2251.90552715116	3743.85211003536	13.9856528248465	0.00373563175408508	-8.06443203859193	0.0156649333066772	0.0899475580778356	CCNA_02987,CCNA_02988,	3142725	3142750
W_88619	1639.96330894932	2646.64014298302	129.948057898773	0.0490992544805538	-4.34815507084318	0.0158907083577723	0.0906082818744313	CCNA_02064,	2215450	2215475
W_58346	4942.388135661	8048.91266120338	282.601347347424	0.0351104999200193	-4.83195365163073	0.0176120544943758	0.0952056515469104	CCNA_01344,CCNA_01345,	1458625	1458650
W_140779	674.301548561323	1104.87858800865	28.4359893903318	0.0257367548787262	-5.28002603270069	0.0184488968774299	0.0974719170788733	CCNA_03338,	3519450	3519475
W_112021	900.272905635987	1460.99238316215	59.193689346738	0.0405160834710308	-4.62536146849874	0.021602231152593	0.105519885874929	CCNA_R0061,	2800500	2800525
W_38517	1088.74206594691	1778.37628053071	54.2907440712056	0.0305282659612419	-5.0337105445525	0.0229169815222769	0.108682381129215	CCNA_00882,CCNA_00883,	962900	962925
W_112020	799.81839579476	1299.55472417562	50.2139032234754	0.0386393141353312	-4.69378670383961	0.0251551807555566	0.113984412798616	CCNA_R0171,CCNA_R0061,	2800475	2800500
